,date,maximum temperature,minimum temperature,average temperature,precipitation,snow fall,snow depth
78,2016-03-19,46,36,41.0,0.00,0.0,0
79,2016-03-20,43,32,37.5,0.07,T,0
80,2016-03-21,50,32,41.0,0.06,0.5,T
81,2016-03-22,56,35,45.5,0.00,0.0,0
82,2016-03-23,71,48,59.5,0.00,0.0,0
83,2016-03-24,55,44,49.5,0.00,0.0,0
84,2016-03-25,72,44,58.0,0.04,0.0,0
85,2016-03-26,55,38,46.5,0.00,0.0,0
86,2016-03-27,55,43,49.0,0.00,0.0,0
87,2016-03-28,62,42,52.0,0.38,0.0,0
88,2016-03-29,53,40,46.5,0.00,0.0,0
89,2016-03-30,56,37,46.5,0.00,0.0,0
90,2016-03-31,73,49,61.0,0.00,0.0,0
91,2016-04-01,79,61,70.0,0.02,0.0,0
92,2016-04-02,61,49,55.0,0.16,0.0,0
93,2016-04-03,50,34,42.0,0.09,T,0
94,2016-04-04,45,29,37.0,0.47,T,0
95,2016-04-05,43,26,34.5,0.00,0.0,0
96,2016-04-06,48,30,39.0,0.00,0.0,0
97,2016-04-07,58,48,53.0,0.09,0.0,0
98,2016-04-08,50,40,45.0,0.01,0.0,0
99,2016-04-09,43,36,39.5,0.11,T,0
100,2016-04-10,50,31,40.5,0.00,0.0,0
101,2016-04-11,65,43,54.0,0.01,0.0,0
102,2016-04-12,59,45,52.0,0.20,0.0,0
103,2016-04-13,58,40,49.0,0.00,0.0,0
104,2016-04-14,62,43,52.5,0.00,0.0,0
105,2016-04-15,65,42,53.5,0.00,0.0,0
106,2016-04-16,68,43,55.5,0.00,0.0,0
107,2016-04-17,75,44,59.5,0.00,0.0,0
108,2016-04-18,82,51,66.5,0.00,0.0,0
109,2016-04-19,73,55,64.0,0.00,0.0,0
110,2016-04-20,69,49,59.0,0.00,0.0,0
111,2016-04-21,73,49,61.0,0.00,0.0,0
112,2016-04-22,79,62,70.5,T,0.0,0
113,2016-04-23,71,54,62.5,0.16,0.0,0
114,2016-04-24,68,47,57.5,0.00,0.0,0
115,2016-04-25,69,50,59.5,0.00,0.0,0
116,2016-04-26,60,47,53.5,0.24,0.0,0
117,2016-04-27,62,46,54.0,0.00,0.0,0
118,2016-04-28,59,48,53.5,0.00,0.0,0
119,2016-04-29,58,45,51.5,0.05,0.0,0
120,2016-04-30,65,46,55.5,0.00,0.0,0
121,2016-05-01,51,45,48.0,0.16,0.0,0
122,2016-05-02,60,45,52.5,0.04,0.0,0
123,2016-05-03,56,51,53.5,0.61,0.0,0
124,2016-05-04,52,48,50.0,0.01,0.0,0
125,2016-05-05,57,46,51.5,0.00,0.0,0
126,2016-05-06,54,48,51.0,0.54,0.0,0
127,2016-05-07,60,48,54.0,0.00,0.0,0
128,2016-05-08,66,49,57.5,0.16,0.0,0
129,2016-05-09,72,52,62.0,0.00,0.0,0
130,2016-05-10,63,50,56.5,0.00,0.0,0
131,2016-05-11,76,50,63.0,0.00,0.0,0
132,2016-05-12,80,56,68.0,0.00,0.0,0
